Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	tree_length
0	-915.9254	-1026.709	110.7839	0.0341761	0.0940695	0.0181026	0.00563211	0.0485189	0.0263736	0.0284547	0.00300276	0.0654694	0.0181081	0.005632	0.00120251	0.00348023	0.0104028	0.0222951	0.0226908	0.00763167	0.013965	0.0178522	0.0230087	0.0200805	0.0478367	0.0293269	0.006068	0.0518438	0.00181509	0.00170194	0.00817737	0.0572315	0.00665829	0.0408371	0.0209919	0.037759	0.00111729	0.00555983	0.00310354	0.00283431	0.0196903	0.00939145	0.057419	0.0220593	0.0255427	0.0645222	0.0631896	0.0492514	0.0543472	0.0237439	0.00212907	0.0470569	0.0181432	0.0120467	0.00675956	0.0056495	0.0203183	0.0477271	0.0298342	0.00127275	0.0406972	0.010355	0.00917658	0.0296217	0.0822446	0.0132271	0.0146317	0.0493761	0.0612888	0.0263161	0.00121382	0.0229045	0.0636407	0.0336124	0.96982	1.13958	0.382481	0.625803	0.863958	1.15746	1.59795	2.61451	0.6949237	3.936016	0.0184595	0.0508096	0.00977771	0.00304206	0.0262064	0.0142451	0.0153692	0.00162188	0.0353619	0.00978072	0.003042	0.000649511	0.00187977	0.00561882	0.0120422	0.0122559	0.00412208	0.00754289	0.00964247	0.0124277	0.0108461	0.0258379	0.0158403	0.00327749	0.0280023	0.000980382	0.000919264	0.00441683	0.0309124	0.00359633	0.0220573	0.0113383	0.0203947	0.000603478	0.00300302	0.00167631	0.00153089	0.0106353	0.00507259	0.0310136	0.0119149	0.0137963	0.0348502	0.0341305	0.0266021	0.0293544	0.0128248	0.00114997	0.0254167	0.00979963	0.00650674	0.00365103	0.00305145	0.0109745	0.0257787	0.0161143	0.000687446	0.0219817	0.00559305	0.00495653	0.0159995	0.0444226	0.00714432	0.00790297	0.0266694	0.0331038	0.0142141	0.00065562	0.0123714	0.0343741	0.018155	1.851413
36	-902.9693	-1014.986	112.0168	0.0379942	0.0246978	0.03392	0.00751415	0.0318172	0.00772198	0.00121165	0.00541925	0.029784	0.0117879	0.000547612	0.00531047	0.000484671	0.000673963	0.0250034	0.00803663	0.00478705	0.00318473	0.00651993	0.00579933	0.00531437	0.0173666	0.00984965	0.000907484	0.037185	0.00230126	0.00783361	0.00670175	0.0210778	0.00744829	0.0170872	0.00908346	0.00562654	0.00437187	0.0175897	0.0032528	0.000296275	0.0142781	0.0105591	0.0258765	0.0168727	0.0105379	0.00332772	0.0157189	0.0245191	0.0265483	0.0069954	0.0117043	0.0287686	0.0205171	0.00126379	0.00169524	0.0140145	0.029533	0.00777261	0.0357929	0.0420496	0.0158298	0.0319779	0.0135749	0.00383996	0.014177	0.00241185	0.0313539	0.00165275	0.0102961	0.0239386	0.00692206	0.0453055	0.0135024	0.00684218	0.903597	1.44587	0.266557	0.524755	0.817771	1.22284	1.90565	3.75155	0.9560185	2.890402	0.0381667	0.02481	0.034074	0.00754827	0.0319617	0.00775705	0.00121716	0.00544385	0.0299192	0.0118414	0.000550099	0.00533459	0.000486871	0.000677023	0.0251169	0.00807312	0.00480879	0.00319919	0.00654954	0.00582566	0.0053385	0.0174455	0.00989437	0.000911605	0.0373538	0.00231171	0.00786918	0.00673218	0.0211735	0.00748211	0.0171648	0.00912471	0.00565209	0.00439173	0.0176696	0.00326757	0.00029762	0.0143429	0.010607	0.025994	0.0169494	0.0105857	0.00334283	0.0157903	0.0246305	0.0266689	0.00702717	0.0117575	0.0288992	0.0206103	0.00126953	0.00170293	0.0140782	0.0296671	0.0078079	0.0359554	0.0422405	0.0159017	0.0321231	0.0136365	0.0038574	0.0142414	0.0024228	0.0314963	0.00166025	0.0103429	0.0240473	0.00695349	0.0455112	0.0135637	0.00687325	0.9954798
72	-913.566	-1024.507	110.9411	0.0505879	0.0344012	0.0630352	0.0105968	0.0295492	0.00899208	0.00519811	0.0151244	0.0601976	0.0166009	0.0135829	0.00175495	0.0120631	0.000404571	0.0355901	0.0305949	0.0365938	0.0063158	0.0136591	0.00265152	0.000480905	0.0504351	0.00482967	0.00216929	0.0866641	0.00704997	0.0163657	0.00542909	0.0489797	0.00231023	0.0200302	0.017315	0.0120661	0.0132073	0.00464607	0.0127256	0.00525271	0.0583049	0.0292831	0.0364995	0.105371	0.00663382	0.0357445	0.0387404	0.0294005	0.0448504	0.0342567	0.00459836	0.05244	0.0670169	0.0297176	0.00692899	0.0542731	0.0698985	0.0188598	0.0778095	0.0241748	0.0165288	0.0521262	0.0313169	0.0186704	0.0428062	0.0153269	0.111629	0.0339735	0.0277557	0.0441661	0.0207902	0.062688	0.0209042	0.00957521	0.916316	1.38704	0.491884	0.707491	0.897668	1.114	1.41345	2.033	0.5130257	3.055401	0.0241988	0.0164559	0.030153	0.00506898	0.0141349	0.00430138	0.00248653	0.00723481	0.0287956	0.00794106	0.00649739	0.000839482	0.00577042	0.000193527	0.0170246	0.0146351	0.0175047	0.00302118	0.00653384	0.00126836	0.000230042	0.0241257	0.00231028	0.00103768	0.0414559	0.00337237	0.00782857	0.00259701	0.0234296	0.0011051	0.00958149	0.00828265	0.00577184	0.00631773	0.00222246	0.00608732	0.00251264	0.0278903	0.0140076	0.0174596	0.0504043	0.0031733	0.0170985	0.0185316	0.0140638	0.0214543	0.0163867	0.00219964	0.0250848	0.0320577	0.0142155	0.0033145	0.0259617	0.0334361	0.00902163	0.0372203	0.0115641	0.00790658	0.0249347	0.0149805	0.00893101	0.0204764	0.00733168	0.0533981	0.0162513	0.013277	0.0211269	0.00994506	0.029987	0.00999957	0.00458032	2.09051
108	-917.2871	-1029.364	112.0773	0.0275539	0.0447027	0.00828318	0.000545157	0.0168308	0.000284495	0.00339542	0.0145899	0.0103605	0.0662196	0.00501751	0.00482645	0.00946648	0.0137848	0.00177401	0.00660599	0.00367937	0.00898852	0.015008	0.00370831	0.00151445	0.0135776	0.00744599	0.0104613	0.0419869	0.00641926	0.00214355	0.0137386	0.034972	0.00208106	0.00125965	0.00544544	0.0195228	0.00143272	0.0164808	0.00608921	0.00107898	0.00618241	0.0147487	0.0132224	0.0171438	0.0283107	0.0109027	0.0426333	0.0330378	0.0103514	0.0285217	0.0213658	0.0154875	0.0282562	0.0255081	0.0185944	0.0259582	0.00242327	0.0266657	0.0522068	0.0265744	0.0277537	0.0178982	0.034787	0.00615077	0.0760129	0.0075523	0.00426747	0.00926724	4.65034e-05	0.0237557	0.0276197	0.0176614	0.0292782	0.0285207	0.856986	1.66144	0.288023	0.544956	0.827465	1.20851	1.83501	3.47194	0.9000138	2.385621	0.0227729	0.0369462	0.00684593	0.000450564	0.0139104	0.000235131	0.00280626	0.0120583	0.00856278	0.0547295	0.0041469	0.00398899	0.00782391	0.011393	0.0014662	0.00545975	0.00304095	0.00742889	0.0124039	0.00306487	0.00125167	0.0112217	0.006154	0.00864613	0.0347016	0.00530543	0.00177162	0.0113548	0.0289038	0.00171997	0.00104108	0.00450058	0.0161353	0.00118412	0.0136211	0.00503265	0.00089176	0.00510967	0.0121896	0.0109281	0.0141691	0.0233984	0.00901094	0.0352358	0.0273053	0.00855529	0.0235727	0.0176586	0.0128002	0.0233533	0.0210821	0.015368	0.0214541	0.0020028	0.0220388	0.0431482	0.0219633	0.022938	0.0147926	0.028751	0.00508352	0.0628236	0.00624187	0.003527	0.00765924	3.84344e-05	0.0196337	0.0228273	0.0145969	0.024198	0.0235719	1.209943
144	-918.1375	-1029.472	111.3345	0.0290237	0.0409168	0.00204136	0.0112619	0.0273451	0.00367009	0.0077671	0.00999419	0.0284592	0.0271599	0.0123744	0.00368092	0.00704336	0.00741603	0.00579701	0.00974107	0.00283375	0.00208401	0.00806974	0.00562657	0.0180505	0.00289377	0.0235021	0.00795295	0.033247	0.00885538	0.00211738	0.0106272	0.00410037	0.00592166	0.0702742	0.0216366	0.00930316	0.00027007	0.0117934	0.00661462	0.000348313	0.00716412	0.00169478	0.0170052	0.00199618	0.00811875	0.0220561	0.0260809	0.0327556	0.00472906	0.0505114	0.0110469	0.00909343	0.0280888	0.0285572	0.0166968	0.02971	0.0143293	0.0128832	0.0555308	0.00989092	0.00937983	0.0440957	0.0165162	0.033458	0.045582	0.00286481	8.23753e-05	0.00347828	0.000500674	0.0396776	0.0188042	0.00794866	0.0202492	0.0383858	0.977128	1.10578	0.247262	0.505872	0.808474	1.2369	1.97678	4.0443	1.01035	4.086886	0.0250469	0.0353103	0.00176165	0.00971876	0.0235982	0.00316721	0.00670284	0.00862477	0.0245597	0.0234384	0.0106789	0.00317655	0.00607826	0.00639987	0.00500269	0.00840633	0.00244547	0.00179846	0.00696401	0.00485561	0.0155772	0.00249726	0.0202818	0.00686322	0.0286914	0.007642	0.00182725	0.00917105	0.00353853	0.00511027	0.0606451	0.0186719	0.00802842	0.000233064	0.0101775	0.00570827	0.000300586	0.00618248	0.00146256	0.0146752	0.00172266	0.0070063	0.0190339	0.0225072	0.0282673	0.00408108	0.0435902	0.00953325	0.00784743	0.0242401	0.0246443	0.0144089	0.0256391	0.0123659	0.0111179	0.0479218	0.00853565	0.00809459	0.0380536	0.0142531	0.0288736	0.0393363	0.00247227	7.10881e-05	0.00300168	0.000432071	0.0342409	0.0162276	0.00685952	0.0174747	0.0331261	1.158778
180	-910.2138	-1021.029	110.8154	0.0332832	0.0294425	0.0143651	0.00416223	0.0163161	0.00404017	0.0016873	0.0129518	0.0293718	0.00326177	0.00285208	0.00380016	0.00217835	0.0025449	0.0153447	0.00634586	0.0165806	0.00268165	0.00287677	0.0126245	0.00515226	0.00532938	0.0210962	0.00129089	0.0365139	0.00431157	0.00923059	0.00463577	0.0177458	0.00107024	0.0097114	0.0111775	0.00259087	0.00767709	0.0114326	0.00581678	0.000689256	0.0194163	0.0169535	0.0346881	0.046444	9.51813e-05	0.0171014	0.0111716	0.00210899	0.0155278	0.00478497	7.0732e-05	0.0184146	0.0121297	0.00846844	0.016725	0.00684733	0.0153362	0.0208311	0.0335016	0.0236946	0.00955164	0.0335099	0.0244832	0.0216617	0.0258544	0.00575017	0.0435831	0.00181477	0.012262	0.0109289	0.0130629	0.035242	0.0412431	0.0230365	1.04715	0.78195	0.213217	0.470614	0.790455	1.26509	2.12489	4.69006	1.117464	6.193553	0.0333338	0.0294873	0.0143869	0.00416857	0.0163409	0.00404632	0.00168987	0.0129716	0.0294166	0.00326674	0.00285642	0.00380595	0.00218166	0.00254878	0.0153681	0.00635552	0.0166059	0.00268573	0.00288115	0.0126437	0.00516011	0.0053375	0.0211284	0.00129286	0.0365695	0.00431814	0.00924465	0.00464283	0.0177728	0.00107187	0.00972619	0.0111946	0.00259482	0.00768878	0.0114501	0.00582564	0.000690306	0.0194459	0.0169793	0.0347409	0.0465147	9.53263e-05	0.0171274	0.0111886	0.0021122	0.0155515	0.00479226	7.08397e-05	0.0184426	0.0121482	0.00848134	0.0167505	0.00685776	0.0153596	0.0208628	0.0335527	0.0237307	0.00956619	0.0335609	0.0245205	0.0216947	0.0258938	0.00575893	0.0436495	0.00181753	0.0122807	0.0109456	0.0130828	0.0352957	0.0413059	0.0230716	0.9984791
216	-914.3665	-1025.522	111.1552	0.0313659	0.029796	0.00247227	0.0250377	0.0430757	0.00550104	0.0118026	0.0137227	0.0214833	0.0073746	0.00772081	0.00282842	0.0108077	0.00150832	0.0341483	0.0161091	0.00590099	0.00082519	0.0154923	0.0302366	0.0178928	0.0204862	0.00390598	0.0118362	0.0318761	0.00169629	0.0106575	0.0203304	0.020026	0.00244995	0.00106751	0.0234093	0.00562294	0.00300474	0.00575928	0.00415649	0.0408566	0.0217806	0.0150542	0.0659054	0.0218435	0.00157114	0.0298472	0.00871279	0.025671	0.0647434	0.0125625	0.000990409	0.055231	0.0375888	0.0486546	0.0313451	0.0411758	0.0275713	0.03937	0.0276828	0.0255801	0.0165289	0.0607363	0.024219	0.0215448	0.0200128	0.0105001	0.0531513	0.0188459	0.00408719	0.00361511	0.0161264	0.0467276	0.0322311	0.042538	0.956428	1.20152	0.29458	0.550971	0.830304	1.20438	1.81498	3.39466	0.8837383	3.681573	0.0206901	0.0196545	0.0016308	0.0165158	0.0284142	0.00362867	0.00778541	0.00905199	0.0141711	0.00486455	0.00509292	0.00186572	0.00712917	0.000994937	0.0225254	0.0106261	0.0038925	0.000544324	0.0102193	0.0199451	0.0118027	0.0135134	0.00257652	0.00780756	0.0210266	0.00111893	0.00703009	0.0134106	0.0132099	0.00161607	0.000704169	0.0154416	0.00370908	0.00198203	0.00379902	0.00274177	0.0269504	0.0143672	0.00993026	0.0434735	0.0144087	0.00103638	0.0196883	0.00574726	0.0169335	0.042707	0.00828665	0.000653308	0.0364323	0.0247949	0.0320943	0.0206763	0.027161	0.018187	0.0259698	0.0182605	0.0168735	0.010903	0.0400638	0.0159757	0.0142117	0.0132011	0.00692623	0.0350604	0.0124314	0.00269605	0.00238465	0.0106376	0.0308232	0.0212608	0.0280596	1.51599
252	-917.6687	-1029.195	111.5263	0.0614399	0.0432596	0.00246012	0.00347564	0.0300351	0.0111649	0.0112356	0.00117117	0.0231516	0.019224	0.0206972	0.00980149	0.0157319	0.000154546	0.00903125	0.0147924	0.000269727	0.00956336	0.016189	0.0109957	0.00847979	0.0290631	0.0692809	0.0088252	0.0329772	0.00457006	0.00283099	0.00799619	0.0601743	0.00304033	0.00421138	0.0113249	0.0255574	0.0158311	0.0282688	0.00957956	0.0243893	0.0276003	0.0266217	0.0387924	0.0509761	0.0508375	0.0290567	0.00347286	0.0150903	0.0862351	0.0364068	0.0302721	0.00878865	0.0525801	0.0152947	0.0142367	0.0154821	0.0287374	0.0048763	0.0173495	0.0157475	0.0403662	0.0897476	0.0362395	0.0267908	0.0384009	0.00865277	0.0404499	0.0121732	0.0173435	0.0202798	0.00981203	0.0647823	0.0161219	0.00801183	0.901617	1.45502	0.411192	0.648289	0.873525	1.14479	1.54252	2.43196	0.6425883	2.865926	0.0370595	0.0260934	0.0014839	0.00209645	0.0181167	0.0067345	0.0067771	0.00070643	0.0139646	0.0115956	0.0124842	0.00591209	0.00948921	9.32198e-05	0.0054475	0.00892253	0.000162695	0.00576846	0.00976496	0.0066324	0.00511487	0.0175304	0.041789	0.00532321	0.0198913	0.00275658	0.00170761	0.00482317	0.0362961	0.00183388	0.00254024	0.006831	0.0154158	0.00954905	0.0170513	0.00577823	0.0147112	0.016648	0.0160578	0.0233989	0.0307479	0.0306643	0.0175265	0.00209477	0.00910221	0.0520156	0.02196	0.0182596	0.00530117	0.0317154	0.00922551	0.00858731	0.00933855	0.0173339	0.0029413	0.0104649	0.00949861	0.0243482	0.0541343	0.021859	0.0161598	0.0231628	0.00521921	0.0243987	0.00734269	0.0104613	0.0122324	0.00591845	0.0390756	0.00972448	0.0048326	1.657872
288	-928.6235	-1040.614	111.991	0.0117379	0.0263885	0.00719701	0.00311287	0.0179773	0.00470647	0.0209589	0.00701929	0.0125799	0.00281675	0.00429403	0.0177491	0.00414077	0.000985352	0.0503218	0.00160919	0.000996997	0.000996764	0.00997897	0.000278394	0.0176454	0.0260715	0.014056	0.00975242	0.0405261	0.0091783	0.00248879	0.0190223	0.0174765	0.00198544	0.0143741	0.0380407	0.0013183	0.0103761	0.00882216	0.00282012	0.0184764	0.000680976	0.0166602	0.00857648	0.00145796	0.00804501	0.104354	0.00639654	0.0184426	0.000710664	0.0512601	0.0498141	0.0156844	0.0168566	0.0168991	0.0271043	0.0126993	0.00342843	0.0279644	0.00485621	0.00317031	0.00987342	0.0281208	0.0701947	0.0423779	0.0179901	0.0337228	0.00964511	0.00686881	0.00342349	0.00634502	0.00575467	0.0205873	0.0318651	0.00402828	0.864555	1.62643	0.242224	0.500819	0.805946	1.24078	1.99673	4.12841	1.025234	2.458491	0.0102592	0.0230641	0.00629035	0.00272072	0.0157126	0.00411356	0.0183185	0.00613502	0.0109951	0.0024619	0.00375308	0.0155131	0.00361912	0.000861219	0.0439824	0.00140647	0.000871397	0.000871194	0.00872184	0.000243323	0.0154225	0.0227871	0.0122853	0.00852383	0.0354207	0.00802204	0.00217526	0.0166259	0.0152748	0.00173532	0.0125633	0.0332484	0.00115223	0.00906891	0.00771076	0.00246484	0.0161487	0.000595188	0.0145614	0.00749603	0.00127429	0.00703152	0.0912075	0.00559072	0.0161193	0.000621136	0.0448025	0.0435386	0.0137085	0.014733	0.0147702	0.0236897	0.0110995	0.00299652	0.0244415	0.00424443	0.00277092	0.00862959	0.0245782	0.0613517	0.0370392	0.0157238	0.0294745	0.00843004	0.00600349	0.00299221	0.00554569	0.00502971	0.0179937	0.0278508	0.0035208	1.144136
324	-910.7601	-1022.55	111.7895	0.0651116	0.0253983	0.00465857	0.019791	0.0185929	0.00136427	0.0455552	5.71544e-05	0.0177881	0.0300806	0.000430076	0.0010734	0.00300499	0.000772075	0.00593089	0.0206054	0.0263865	0.022112	0.0148402	0.0135363	0.0129831	0.0513056	0.0338216	0.00414094	0.0160993	0.0056923	0.00467161	0.0122144	0.0127559	0.000748058	0.00466812	0.0133787	0.00974796	0.00864264	0.00834796	0.00307505	0.00573345	0.000377806	0.0569299	0.0232926	0.00217375	0.0388263	0.0373774	0.0290778	0.0237457	0.00794963	0.0339614	0.00918828	0.0168857	0.0109364	0.0430451	0.0277717	0.0346976	0.00453481	0.0133603	0.0245373	0.0200237	0.0180889	0.0443415	0.0180005	0.014282	0.0255145	0.0224611	0.0458526	0.0570643	0.00145585	0.0125019	0.00061859	0.00604834	0.0105884	0.0336592	0.887869	1.51861	0.285145	0.542293	0.826201	1.21036	1.84402	3.50699	0.9072771	2.704051	0.0495414	0.0193248	0.00354456	0.0150584	0.0141468	0.00103803	0.0346615	4.3487e-05	0.0135344	0.0228874	0.000327232	0.00081672	0.00228641	0.000587448	0.00451263	0.015678	0.0200767	0.0168244	0.0112914	0.0102994	0.00987842	0.0390368	0.0257338	0.00315071	0.0122495	0.00433109	0.00355448	0.00929352	0.0097056	0.000569174	0.00355183	0.0101795	0.00741692	0.00657591	0.00635171	0.00233971	0.0043624	0.000287461	0.0433162	0.0177226	0.00165394	0.0295417	0.0284393	0.0221244	0.0180674	0.00604863	0.0258401	0.00699107	0.0128478	0.00832115	0.0327517	0.0211306	0.0264004	0.00345039	0.0101654	0.0186696	0.0152354	0.0137633	0.0337381	0.013696	0.0108667	0.0194132	0.0170899	0.0348878	0.0434185	0.00110771	0.00951233	0.000470666	0.004602	0.00805641	0.0256102	1.314287
