Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	tree_length
0	-915.6989	-1026.877	111.1782	0.0765275	0.0434855	0.00661361	0.0103696	0.0628777	0.00952302	0.0266824	0.00881554	0.0283471	0.0179955	0.00159544	0.00209575	0.0156973	0.000966533	0.0371154	0.0176438	0.00748236	0.00720047	0.0325729	0.0407471	0.0150406	0.0606044	0.0176079	0.000348027	0.0321007	0.00270415	0.0124061	0.0119839	0.0218066	0.00522659	0.00442691	0.00254976	0.0189913	0.00109734	0.0135349	0.00923205	0.0063881	0.0219808	0.0378351	0.0125582	0.0150218	0.0154315	0.0176649	0.068421	0.0115228	0.047361	0.00990114	0.024515	0.0222433	0.0167645	0.0331952	0.0498917	0.0417632	0.0657458	0.0238119	0.0342177	0.000665856	0.0264704	0.000929046	0.00897944	0.00476122	0.0638423	0.0174274	0.0190252	0.0392965	0.00495405	0.00437269	0.0539406	0.0196236	0.0108427	0.00471376	0.992951	1.0326	0.452547	0.679307	0.886355	1.12822	1.47209	2.20972	0.5732958	4.447407	0.0496901	0.0282356	0.00429428	0.00673312	0.0408272	0.00618339	0.0173251	0.00572402	0.018406	0.0116847	0.00103594	0.00136079	0.0101924	0.00062758	0.0240994	0.0114563	0.00485837	0.00467534	0.0211499	0.0264575	0.00976603	0.0393511	0.011433	0.000225977	0.0208433	0.00175583	0.00805538	0.00778126	0.0141593	0.00339368	0.00287444	0.00165559	0.0123313	0.000712516	0.00878838	0.00599447	0.00414786	0.0142724	0.0245667	0.00815414	0.00975384	0.0100199	0.01147	0.0444265	0.00748184	0.030752	0.00642891	0.0159178	0.0144428	0.0108854	0.021554	0.0323952	0.0271173	0.0426894	0.0154613	0.0222179	0.000432347	0.0171875	0.000603239	0.00583045	0.00309151	0.0414535	0.0113158	0.0123533	0.0255156	0.00321671	0.00283923	0.0350242	0.0127418	0.00704031	0.00306069	1.540096
36	-905.9645	-1017.756	111.7914	0.0548922	0.025561	0.00344398	0.00566814	0.0321167	0.000813185	0.018195	0.00173283	0.0170585	0.0132706	0.00170672	0.00055524	0.00295566	0.00762581	0.0254426	0.00569234	0.00137767	0.000674618	0.0109897	0.000125927	0.00106781	0.021874	0.0252516	0.00228343	0.0178749	0.00635421	0.00485873	0.0031035	0.0177452	0.00549426	0.00712979	0.0170656	0.00292205	0.00564505	0.00670648	0.00244008	0.0107573	0.0332239	0.00384387	0.0207654	0.0279917	0.0270058	0.0225731	0.0250584	0.0187059	0.0209352	0.00176641	0.000518621	0.0268785	0.0190748	0.0373316	0.00592378	0.0128729	0.0302709	0.00517046	0.013584	0.0241926	0.0320234	0.0316058	0.0030947	0.0040909	0.0333205	0.0493417	0.0109376	0.02307	0.0456007	0.0179934	0.0182033	0.0051371	0.0429034	0.00979929	0.92613	1.34165	0.267882	0.526025	0.818388	1.22191	1.90105	3.73299	0.9524324	3.192602	0.0502087	0.0233801	0.00315013	0.00518452	0.0293764	0.000743802	0.0166426	0.00158498	0.015603	0.0121383	0.0015611	0.000507865	0.00270348	0.00697515	0.0232718	0.00520665	0.00126012	0.000617058	0.010052	0.000115182	0.000976698	0.0200077	0.0230971	0.0020886	0.0163497	0.00581205	0.00444417	0.0028387	0.0162311	0.00502548	0.00652146	0.0156095	0.00267273	0.0051634	0.00613426	0.00223189	0.0098395	0.0303892	0.0035159	0.0189936	0.0256033	0.0247015	0.0206471	0.0229204	0.0171099	0.0191489	0.00161569	0.00047437	0.0245852	0.0174473	0.0341464	0.00541834	0.0117746	0.0276881	0.0047293	0.012425	0.0221284	0.0292911	0.0289091	0.00283065	0.00374185	0.0304775	0.0451317	0.0100044	0.0211016	0.0417099	0.0164581	0.0166501	0.00469879	0.0392427	0.00896318	1.093282
72	-927.8186	-1039.719	111.9001	0.0298762	0.0199164	0.00601865	0.0165653	0.0511466	0.0113891	0.00849097	0.0123685	0.0232605	0.000446195	0.0408427	0.0226789	0.0172719	0.00786276	0.0241121	0.0342396	0.00213487	0.00200796	0.0205451	0.0105137	0.0319213	0.006916	0.0110044	0.00369517	0.0385258	0.00844357	0.00977385	0.00981295	0.0136728	0.0131565	0.0203774	0.0194427	0.0138644	0.0396658	0.00225044	0.0124192	0.00252435	0.00290383	0.0370157	0.0616461	0.0340901	0.029256	0.0101903	0.00337011	0.0241309	0.00775439	0.0247528	0.00770845	0.0351745	0.0424346	0.029181	0.00536675	0.0244214	0.0386686	0.0666617	0.0551187	0.0220117	0.001327	0.00428017	0.0283939	0.0209353	0.0596632	0.0235675	0.064833	0.0180653	0.0080309	0.00410723	0.0092739	0.0264454	0.0170121	0.0334105	0.878956	1.55983	0.434418	0.665896	0.880858	1.13526	1.50174	2.30193	0.6028581	2.606161	0.0199127	0.0132744	0.00401148	0.0110409	0.0340896	0.00759093	0.0056593	0.00824367	0.0155033	0.000297392	0.027222	0.0151157	0.0115119	0.00524059	0.0160709	0.0228209	0.00142291	0.00133832	0.0136934	0.00700748	0.0212758	0.00460957	0.00733453	0.00246286	0.0256777	0.00562771	0.00651435	0.00654041	0.00911301	0.00876892	0.0135817	0.0129587	0.00924071	0.0264376	0.00149994	0.00827748	0.0016825	0.00193542	0.0246713	0.0410876	0.0227213	0.0194994	0.00679191	0.0022462	0.0160834	0.00516836	0.0164979	0.00513774	0.0234441	0.028283	0.0194494	0.00357698	0.0162771	0.0257729	0.0444305	0.0367371	0.014671	0.000884456	0.00285277	0.0189248	0.0139536	0.039766	0.0157079	0.0432117	0.0120407	0.00535266	0.0027375	0.00618112	0.0176261	0.0113387	0.0222684	1.500358
108	-925.6097	-1037.524	111.9143	0.0172904	0.0168615	0.0197894	0.00174326	0.0146583	0.0100401	0.00208879	0.00576292	0.00506217	0.0116246	0.0130867	0.0119931	0.00562418	0.0078261	0.0278674	0.00654311	0.00226842	0.00889746	0.0105673	0.0108795	0.0127084	0.0142554	0.00757811	0.00244141	0.0320386	0.00420226	0.000808535	0.0190816	0.00539365	0.00562	8.75568e-05	0.00397085	0.000886169	0.000618635	0.0116787	0.00514565	0.00647565	0.00749194	0.0104093	0.00135732	0.0241654	0.00375438	0.0265899	0.00244693	0.00176087	0.012117	0.0176952	0.00263719	0.0157523	0.0126027	0.0205393	0.0273018	0.0102341	0.0388387	0.00151375	0.0223887	0.00881537	0.00206451	0.000158737	0.00558824	0.00679554	0.0259413	0.00448175	0.0024848	0.0232626	0.00996678	0.00443675	0.0259544	0.0141659	0.0134351	0.0125804	0.918642	1.37628	0.197299	0.453138	0.781178	1.28012	2.20683	5.06846	1.173567	3.087109	0.0226553	0.0220934	0.0259297	0.00228416	0.0192065	0.0131554	0.0027369	0.00755104	0.00663287	0.0152315	0.0171472	0.0157143	0.00736926	0.0102544	0.0365142	0.00857332	0.00297227	0.0116582	0.0138461	0.0142552	0.0166515	0.0186786	0.00992947	0.00319893	0.0419796	0.00550614	0.00105941	0.0250023	0.0070672	0.00736379	0.000114724	0.00520293	0.00116113	0.000810586	0.0153024	0.00674225	0.00848493	0.00981656	0.0136391	0.00177847	0.0316635	0.0049193	0.0348403	0.00320616	0.00230724	0.0158767	0.0231857	0.00345546	0.0206399	0.0165131	0.0269123	0.035773	0.0134095	0.0508897	0.00198344	0.0293355	0.0115506	0.00270509	0.000207991	0.00732217	0.00890408	0.0339904	0.00587236	0.00325578	0.0304805	0.0130593	0.00581339	0.0340076	0.0185613	0.0176038	0.0164839	0.7631946
144	-927.3558	-1039.036	111.6802	0.0392801	0.0484077	0.00264947	0.00455408	0.0561442	0.00881438	0.0124442	0.00543898	0.0158983	0.035744	0.0219232	0.00490051	0.0314015	0.0276413	0.0197776	0.0030284	0.00511425	0.00513662	0.0103923	0.00437088	0.0107365	0.0257708	0.032929	0.010639	0.032285	0.00142636	0.0125913	0.0196742	0.0179547	0.0166767	0.00797413	0.0194422	0.00271949	0.00589378	0.01876	0.00616001	0.000774675	0.0198695	0.0269755	0.0440076	0.00629003	0.0586893	0.00977778	0.00935886	0.0105418	0.0204235	0.0301303	0.0418065	0.0259685	0.0140225	0.0213048	0.00533049	0.0102756	0.0449472	0.002153	0.0348354	0.0766747	0.0196042	0.0321456	0.0213255	0.000661583	0.0423937	0.0502779	0.00434477	0.00382653	0.00249502	0.0241317	0.0182872	0.0283446	0.0488126	0.0278563	0.909546	1.41835	0.36154	0.608852	0.856587	1.16742	1.64244	2.76595	0.7356385	2.965878	0.0272144	0.0335382	0.00183563	0.00315519	0.0388983	0.00610685	0.00862172	0.00376828	0.0110148	0.0247644	0.015189	0.00339521	0.0217558	0.0191506	0.0137025	0.00209816	0.00354329	0.00355879	0.00720007	0.00302827	0.00743852	0.0178547	0.0228141	0.00737101	0.022368	0.000988225	0.00872363	0.0136308	0.0124395	0.0115541	0.0055247	0.0134701	0.00188414	0.00408338	0.0129974	0.00426783	0.000536716	0.0137661	0.0186894	0.0304897	0.00435791	0.0406616	0.00677432	0.00648408	0.00730368	0.01415	0.0208751	0.0289647	0.0179917	0.00971518	0.0147605	0.00369311	0.00711925	0.0311406	0.00149166	0.0241349	0.0531223	0.0135824	0.0222714	0.0147749	0.000458363	0.0293716	0.0348339	0.00301018	0.00265113	0.00172862	0.0167191	0.0126699	0.0196379	0.0338187	0.0192996	1.44336
180	-920.1856	-1032.472	112.2866	0.0171363	0.0161376	1.02367e-05	0.00192255	0.0194051	0.00973358	0.0128094	0.00307903	0.00995872	0.00590433	0.00232644	0.00050858	0.000166827	0.0046346	0.0275672	0.0132149	0.00847468	0.00077477	0.00108884	0.0116643	0.00764272	0.0109483	0.010634	0.00353504	0.0387194	0.000137094	0.0105588	0.00225379	0.000922215	0.00551066	0.0384548	0.00910607	0.00731672	0.000929698	0.0247937	0.00750926	0.00517964	0.00262881	0.0306733	0.016352	0.00322576	0.00902282	0.00166872	0.0199978	0.0162851	0.00821645	0.0150044	0.0342155	0.0240675	0.0212794	0.00654434	0.00215958	0.00979968	0.0203341	0.00376529	0.00503735	0.0346859	0.00719318	0.0124643	0.00563571	0.000168676	0.0277827	0.0243592	0.00269917	0.00737178	0.0019491	0.0058324	0.0115076	0.0100173	0.0354905	0.0199067	0.847532	1.70517	0.207884	0.464835	0.787415	1.26998	2.1513	4.81038	1.13578	2.2988	0.021208	0.019972	1.2669e-05	0.00237935	0.0240159	0.0120463	0.0158529	0.00381062	0.012325	0.00730723	0.00287921	0.000629422	0.000206466	0.00573581	0.0341174	0.0163548	0.0104883	0.00095886	0.00134755	0.0144358	0.00945867	0.0135496	0.0131607	0.00437498	0.0479194	0.000169668	0.0130676	0.0027893	0.00114134	0.00682003	0.0475919	0.0112697	0.00905521	0.0011506	0.0306848	0.00929351	0.00641035	0.00325343	0.0379615	0.0202373	0.00399221	0.0111667	0.00206521	0.0247494	0.0201545	0.0101687	0.0185696	0.0423453	0.0297861	0.0263354	0.00809932	0.0026727	0.0121281	0.0251656	0.00465995	0.00623425	0.0429274	0.00890231	0.0154259	0.00697479	0.000208755	0.034384	0.0301471	0.0033405	0.00912336	0.00241221	0.00721822	0.0142419	0.0123974	0.0439233	0.0246367	0.8080118
216	-913.4783	-1024.884	111.4055	0.0438484	0.015953	2.61095e-05	0.00157689	0.0328729	0.00373329	0.00479712	0.0187107	0.00720925	0.00378569	0.00741484	0.00239608	0.0041004	0.00241002	0.0132996	0.00184959	0.000176193	0.00721428	0.00318596	0.0153676	0.00363311	0.0272553	0.0237264	0.0043322	0.0153643	0.00749043	0.0038585	0.0092363	0.00858244	0.00179136	0.0160645	0.00381885	0.000129637	0.0046698	0.00608133	0.00197471	0.00778929	0.0173932	0.0233038	0.0310606	0.0156701	0.0357149	0.00523967	0.0161552	0.0165843	0.0102949	0.0231231	0.00398864	0.0419914	0.0116105	0.00287531	0.00199892	0.00523986	0.0199765	0.0202009	0.0144769	0.0234287	0.0183988	0.0085732	0.00147542	0.0131984	0.0237887	0.0196349	0.00316845	0.00529194	0.00605793	0.00438782	0.00707515	0.00155189	0.0213018	0.0211171	0.979158	1.09639	0.178006	0.430958	0.769043	1.30032	2.32041	5.6178	1.247973	4.130458	0.052761	0.0191956	3.14165e-05	0.00189741	0.0395547	0.00449211	0.00577219	0.0225139	0.00867461	0.00455517	0.00892198	0.00288311	0.00493385	0.00289988	0.0160028	0.00222554	0.000212007	0.00868065	0.00383354	0.0184913	0.00437158	0.0327952	0.0285491	0.00521276	0.0184872	0.00901294	0.00464279	0.0111137	0.0103269	0.00215547	0.0193297	0.00459507	0.000155987	0.00561899	0.00731743	0.00237609	0.00937255	0.0209286	0.0280406	0.037374	0.0188553	0.0429743	0.00630469	0.0194389	0.0199552	0.0123875	0.0278231	0.00479937	0.0505266	0.0139704	0.00345975	0.00240522	0.00630491	0.024037	0.0243069	0.0174195	0.0281908	0.0221385	0.0103158	0.00177532	0.0158811	0.028624	0.0236259	0.00381247	0.00636758	0.00728926	0.0052797	0.00851325	0.00186733	0.0256316	0.0254094	0.8310753
252	-903.5797	-1015.218	111.6381	0.0106371	0.00721266	0.000597616	0.00627802	0.0228068	0.00165941	0.000236441	0.00149057	0.0126377	0.00674252	0.00286345	0.00121504	0.000206752	0.000355594	0.00940547	0.000793701	0.000143957	0.0011069	0.00483483	0.00751785	0.00113216	0.00898354	0.00994082	0.00203484	0.0121549	0.00470098	0.000932165	0.00317199	0.00744097	0.00466232	0.00516894	0.00248962	0.00018297	0.00634041	0.00874831	0.00319506	0.00841291	0.00171638	0.00744873	0.0106891	0.00389026	0.0103611	0.00403175	0.010239	0.0034251	0.00346967	0.00609168	0.0103907	0.0195699	0.00230387	0.00888319	0.00889529	0.00788977	0.0104849	0.00349327	0.00736897	0.0197843	0.0136561	0.0146831	0.00969368	0.0019519	0.0162256	0.0136435	0.00143499	0.00457741	0.00499713	0.00267958	0.00435385	0.000109337	0.0143574	0.0107852	0.931808	1.31539	0.130316	0.370154	0.733404	1.36351	2.70158	7.67365	1.473464	3.276299	0.0230236	0.0156115	0.00129351	0.0135885	0.0493643	0.00359171	0.000511764	0.00322626	0.0273537	0.0145938	0.00619779	0.0026299	0.000447504	0.000769666	0.0203577	0.00171793	0.000311587	0.00239583	0.0104647	0.016272	0.0024505	0.0194444	0.0215164	0.00440431	0.0263087	0.010175	0.00201762	0.00686562	0.0161056	0.0100914	0.0111879	0.00538866	0.000396029	0.0137235	0.0189353	0.00691555	0.0182093	0.00371501	0.0161224	0.0231361	0.00842028	0.022426	0.00872651	0.0221617	0.00741346	0.00750993	0.0131851	0.0224901	0.042358	0.00498662	0.0192272	0.0192534	0.017077	0.0226941	0.00756101	0.0159498	0.0428221	0.029558	0.0317808	0.0209815	0.00422479	0.0351195	0.0295308	0.00310596	0.00990759	0.010816	0.00579981	0.0094237	0.000236654	0.031076	0.023344	0.462011
288	-920.2548	-1032.407	112.1523	0.0257185	0.0273267	0.00579681	0.00102614	0.00620644	0.000505873	0.0178917	0.00498731	0.00652369	0.0178981	0.00254302	0.00309554	0.00170647	0.00654273	0.0149095	0.00227907	4.44779e-05	0.00142529	0.00176652	0.00901601	0.00455448	0.00773128	0.0268337	0.00188839	0.023611	0.00203528	0.0118964	0.00417375	0.0163541	0.000702467	0.00572391	0.00457544	0.0127083	0.00173044	0.0100115	0.00289341	0.00851222	0.00910486	0.00661501	0.00857004	0.0134858	0.0103863	0.00113391	0.00850738	0.00554643	0.00188804	0.00628945	0.0135876	0.0204565	0.00307184	0.00844387	0.015373	0.00443662	0.00131795	0.00334222	0.00480335	0.0391933	0.00501542	0.0220777	0.00935361	0.00653132	0.029031	0.0202346	0.00350537	0.0122719	0.00369363	0.00383673	0.00191569	0.00688544	0.0155273	0.0177051	0.845032	1.71673	0.147903	0.393728	0.747668	1.33749	2.53982	6.76117	1.381926	2.276582	0.0397944	0.0422828	0.00896945	0.00158776	0.00960326	0.000782741	0.0276839	0.0077169	0.0100941	0.0276939	0.00393483	0.00478975	0.00264043	0.0101236	0.0230696	0.00352642	6.88209e-05	0.00220536	0.00273335	0.0139505	0.00704718	0.0119627	0.0415199	0.00292192	0.0365334	0.0031492	0.0184074	0.00645807	0.0253049	0.00108693	0.00885665	0.0070796	0.0196637	0.00267752	0.0154908	0.00447699	0.013171	0.014088	0.0102354	0.0132605	0.0208666	0.0160708	0.00175451	0.0131635	0.00858203	0.00292138	0.00973171	0.0210242	0.0316524	0.00475309	0.0130653	0.0237868	0.00686481	0.00203927	0.00517145	0.00743226	0.0606441	0.00776039	0.034161	0.0144729	0.0101059	0.0449198	0.0313091	0.00542388	0.0189884	0.00571518	0.0059366	0.00296416	0.0106539	0.0240255	0.0273952	0.6462842
324	-926.0805	-1037.076	110.9955	0.0404095	0.0155405	0.00729394	0.00359964	0.00560675	0.00350459	0.00183423	0.000179178	0.0180473	0.00164771	0.00423803	0.0052417	0.000580662	0.000653636	0.00359774	0.00439959	0.00440544	0.000472152	0.00561028	0.00576295	0.0192342	0.0140496	0.0131708	0.000939285	0.0301062	0.00185622	0.0023156	0.00327445	0.00988088	0.00260188	0.00241167	0.00856459	0.00134615	0.00335606	0.00399672	0.000381026	0.0141437	0.00449496	0.00139707	0.00942621	0.0138981	0.0241697	0.000770593	0.00129665	0.00728318	0.00713077	0.0121477	0.00739609	0.0165715	0.000617486	0.00551773	0.0110588	0.0102971	0.00199668	0.00733294	0.00655899	0.0321284	0.00855788	0.0168109	0.00432894	0.00461461	0.0117738	0.0120591	0.00262149	0.015247	0.0163343	0.00392392	0.00189321	0.00429656	0.01199	0.00810513	1.01304	0.939674	0.118198	0.352947	0.722593	1.3839	2.83328	8.46037	1.544036	4.986116	0.0711057	0.0273455	0.0128346	0.00633402	0.0098658	0.00616677	0.00322755	0.000315287	0.0317566	0.00289936	0.00745736	0.00922344	0.00102175	0.00115016	0.00633069	0.00774165	0.00775194	0.000830811	0.009872	0.0101406	0.033845	0.0247221	0.0231757	0.00165279	0.0529757	0.00326626	0.0040746	0.00576182	0.0173867	0.00457834	0.00424364	0.0150705	0.00236872	0.00590541	0.00703275	0.000670463	0.0248877	0.00790945	0.00245832	0.0165866	0.0244555	0.0425296	0.00135596	0.00228162	0.0128157	0.0125475	0.0213754	0.0130144	0.0291597	0.00108655	0.00970916	0.0194593	0.0181191	0.00351341	0.0129032	0.0115414	0.0565341	0.0150587	0.0295809	0.00761733	0.00811999	0.0207174	0.0212195	0.00461285	0.026829	0.0287423	0.00690463	0.00333134	0.00756034	0.021098	0.014262	0.568302
